filename;num_of_correctly_detected;num_of_all_faces;num_of_misdetected;;;
frozen-disneyscreencaps.com-340.jpg ;0;1;0;;;
frozen-disneyscreencaps.com-411.jpg;1;1;0;;;
frozen-disneyscreencaps.com-712.jpg;4;4;0;;;
frozen-disneyscreencaps.com-959.jpg;1;1;2;;;
frozen-disneyscreencaps.com-979.jpg;1;2;0;;;
frozen-disneyscreencaps.com-1008.jpg;2;2;1;;;
frozen-disneyscreencaps.com-1121.jpg;1;1;0;;;
frozen-disneyscreencaps.com-1429.jpg;0;1;1;;;
frozen-disneyscreencaps.com-1472.jpg;1;1;0;;;
frozen-disneyscreencaps.com-1523.jpg;1;1;0;;;
frozen-disneyscreencaps.com-1694.jpg;1;1;1;;;
frozen-disneyscreencaps.com-1889.jpg;1;1;0;;;
frozen-disneyscreencaps.com-1948.jpg;1;1;0;;;
frozen-disneyscreencaps.com-2012.jpg;1;1;0;;;
frozen-disneyscreencaps.com-2034.jpg;2;4;0;;;
frozen-disneyscreencaps.com-2040.jpg;2;6;1;;;
frozen-disneyscreencaps.com-2094.jpg;1;1;0;;;
frozen-disneyscreencaps.com-2103.jpg;0;1;0;;;
frozen-disneyscreencaps.com-2179.jpg;3;3;1;;;
frozen-disneyscreencaps.com-2256.jpg;2;2;0;;;
frozen-disneyscreencaps.com-2305.jpg;2;2;1;;;
frozen-disneyscreencaps.com-2342.jpg;2;2;1;;;
frozen-disneyscreencaps.com-2352.jpg;0;2;1;;;
frozen-disneyscreencaps.com-2616.jpg;1;1;0;;;
frozen-disneyscreencaps.com-2660.jpg;1;1;0;;;
frozen-disneyscreencaps.com-2841.jpg;2;2;0;;;
frozen-disneyscreencaps.com-3007.jpg;1;2;0;;;
frozen-disneyscreencaps.com-3129.jpg;0;1;0;;;
frozen-disneyscreencaps.com-3212.jpg;0;1;0;;;
frozen-disneyscreencaps.com-3309.jpg;1;2;0;;;
frozen-disneyscreencaps.com-3766.jpg;1;1;0;;;
frozen-disneyscreencaps.com-3810.jpg;1;1;0;;;
frozen-disneyscreencaps.com-3913.jpg;1;1;0;;;
frozen-disneyscreencaps.com-3939.jpg;1;1;0;;;
frozen-disneyscreencaps.com-4168.jpg;1;1;0;;;
frozen-disneyscreencaps.com-4238.jpg;1;2;0;;;
frozen-disneyscreencaps.com-4493.jpg;1;1;0;;;
frozen-disneyscreencaps.com-4518.jpg;0;1;0;;;
frozen-disneyscreencaps.com-4582.jpg;1;1;1;;;
frozen-disneyscreencaps.com-4678.jpg;2;2;0;;;
frozen-disneyscreencaps.com-5252.jpg;2;2;1;;;
frozen-disneyscreencaps.com-5277.jpg;2;2;0;;;
frozen-disneyscreencaps.com-5341.jpg;1;1;0;;;
frozen-disneyscreencaps.com-5704.jpg;1;2;1;;;
frozen-disneyscreencaps.com-5904.jpg;3;3;0;;;
frozen-disneyscreencaps.com-6018.jpg;1;1;0;;;
frozen-disneyscreencaps.com-6319.jpg;1;1;0;;;
frozen-disneyscreencaps.com-6433.jpg;0;1;1;;;
frozen-disneyscreencaps.com-6672.jpg;1;2;0;;;
frozen-disneyscreencaps.com-6762.jpg;1;1;1;;;
frozen-disneyscreencaps.com-6789.jpg;1;2;0;;;
frozen-disneyscreencaps.com-6803.jpg;2;2;1;;;
frozen-disneyscreencaps.com-7452.jpg;1;2;0;;;
frozen-disneyscreencaps.com-7508.jpg;1;1;1;;;
frozen-disneyscreencaps.com-7858.jpg;1;1;0;;;
frozen-disneyscreencaps.com-8158.jpg;0;3;0;;;
frozen-disneyscreencaps.com-8181.jpg;1;1;0;;;
frozen-disneyscreencaps.com-8193.jpg;2;3;0;;;
frozen-disneyscreencaps.com-8234.jpg;1;2;0;;;
frozen-disneyscreencaps.com-8305.jpg;1;1;1;;;
frozen-disneyscreencaps.com-8599.jpg;0;1;0;;;
frozen-disneyscreencaps.com-8867.jpg;1;1;0;;;
frozen-disneyscreencaps.com-9947.jpg;0;1;0;;;
frozen-disneyscreencaps.com-10018.jpg;2;2;0;;;
frozen-disneyscreencaps.com-10252.jpg;3;7;0;;;
frozen-disneyscreencaps.com-10346.jpg;0;2;0;;;
frozen-disneyscreencaps.com-10415.jpg;3;3;0;;;
frozen-disneyscreencaps.com-10492.jpg;3;3;1;;;
frozen-disneyscreencaps.com-10658.jpg;1;2;0;;;
frozen-disneyscreencaps.com-10792.jpg;5;13;0;;;